,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,
HY, 41 , 77 , 29 , 29 , 121 , 35 , 113 , 205 , 270 , 145 , 205 , 149 , 173 , 120 , 16 , 87 , 205 , 277 , 31 , 19 , 22 , 4 , 5 , 21 , 29 , 503 , 525 , 343 , 310 , 89 , 60 , 31 , 36 , 43 , 7 , 27 , 68 , 14 , 60 , 7 , 12 , 21 , 7 , 32 , 10 , 83 ," 4,718 ",,,,,,,,,,,,,
SH, 19 , 29 , 8 , 11 , 67 , 19 , 55 , 142 , 166 , 76 , 85 , 81 , 60 , 71 , 79 , 11 , 115 , 137 , 6 , 9 , 14 , 2 , 1 , 6 , 17 , 409 , 391 , 228 , 244 , 81 , 40 , 17 , 23 , 33 , 4 , 10 , 34 , 4 , 16 , 4 , 7 , 18 , 8 , 17 , 7 , 45 ," 2,926 ",,,,,,,,,,,,,
UC, 17 , 35 , 16 , 19 , 137 , 32 , 79 , 216 , 203 , 107 , 80 , 93 , 80 , 95 , 208 , 86 , 20 , 225 , 14 , 17 , 17 , 4 , 4 , 10 , 10 , 962 , 791 , 347 , 320 , 87 , 33 , 13 , 16 , 43 , 6 , 14 , 53 , 5 , 21 , 6 , 5 , 25 , 4 , 20 , 16 , 38 ," 4,648 ",,,,,,,,,,,,,
FM, 32 , 62 , 38 , 35 , 189 , 31 , 105 , 317 , 261 , 114 , 125 , 109 , 132 , 185 , 295 , 165 , 216 , 46 , 22 , 25 , 22 , 9 , 13 , 22 , 15 ," 1,441 "," 1,154 ", 414 , 375 , 110 , 37 , 28 , 32 , 42 , 7 , 28 , 72 , 7 , 38 , 4 , 7 , 37 , 4 , 28 , 24 , 40 ," 6,513 ",,,,,,,,,,,,,
CN, 24 , 30 , 17 , 19 , 119 , 22 , 165 , 321 , 330 , 33 , 41 , 54 , 25 , 17 , 31 , 7 , 15 , 25 , 29 , 97 , 239 , 71 , 38 , 85 , 18 , 882 , 923 , 533 , 490 , 141 , 85 , 43 , 52 , 81 , 24 , 7 , 7 , 46 , 284 , 26 , 23 , 132 , 29 , 3 , 29 , 10 ," 5,722 ",,,,,,,,,,,,,
PH, 18 , 17 , 18 , 24 , 157 , 31 , 177 , 383 , 398 , 22 , 20 , 35 , 24 , 13 , 20 , 9 , 15 , 24 , 96 , 25 , 110 , 42 , 29 , 122 , 12 ," 1,690 "," 1,740 ", 630 , 619 , 165 , 78 , 97 , 44 , 58 , 14 , 5 , 4 , 35 , 145 , 27 , 31 , 151 , 21 , 2 , 44 , 10 ," 7,451 ",,,,,,,,,,,,,
WC, 20 , 32 , 25 , 31 , 126 , 23 , 163 , 344 , 324 , 25 , 35 , 40 , 24 , 14 , 22 , 14 , 16 , 22 , 260 , 109 , 20 , 52 , 41 , 146 , 17 ," 1,429 "," 1,484 ", 534 , 497 , 133 , 66 , 57 , 49 , 62 , 20 , 6 , 6 , 51 , 232 , 22 , 26 , 169 , 25 , 2 , 39 , 7 ," 6,863 ",,,,,,,,,,,,,
LF, 5 , 7 , 7 , 8 , 65 , 8 , 44 , 145 , 135 , 8 , 15 , 19 , 5 , 1 , 4 , 2 , 4 , 8 , 86 , 52 , 53 , 13 , 19 , 66 , 7 , 846 , 787 , 253 , 254 , 55 , 37 , 21 , 12 , 16 , 4 , 1 , 1 , 12 , 44 , 6 , 7 , 78 , 12 , 1 , 19 , 2 ," 3,257 ",,,,,,,,,,,,,
OR, 9 , 13 , 8 , 5 , 49 , 7 , 46 , 115 , 124 , 8 , 20 , 12 , 8 , 2 , 6 , 1 , 3 , 12 , 37 , 24 , 44 , 19 , 12 , 57 , 3 , 802 , 755 , 243 , 233 , 54 , 29 , 29 , 17 , 15 , 4 , 4 , 2 , 7 , 21 , 10 , 7 , 66 , 14 , 0 , 11 , 3 ," 2,969 ",,,,,,,,,,,,,
RR, 24 , 33 , 32 , 21 , 52 , 13 , 61 , 208 , 190 , 26 , 45 , 27 , 22 , 11 , 17 , 10 , 11 , 22 , 83 , 115 , 136 , 60 , 56 , 19 , 21 ," 1,093 "," 1,201 ", 551 , 637 , 201 , 105 , 47 , 47 , 35 , 5 , 5 , 10 , 25 , 60 , 11 , 13 , 128 , 28 , 6 , 19 , 10 ," 5,552 ",,,,,,,,,,,,,
